userName,score,at,content
Adinda Zahro,5,2022-02-17 12:06:25,Jos
Aris Putra Pratama,4,2022-02-17 12:02:30,Ticket vaksin saya ko tidak muncul sih
Umar AL Faruqi,1,2022-02-17 11:58:47,Ulasan saya dihapus.. wkwkwk berarti bener aplikasi ini gabener. Negative kok jadi positive.. banyak eror. Merugikan masyarakat tapi menguntungkan pejabat.... Cuan cuan cuan misinya. Mensakitkan untuk cuan
Ninik Nasihah,4,2022-02-17 11:55:42,Sangat membantu
Dul Hadi,5,2022-02-17 11:54:55,GO job
Amri Anto,5,2022-02-17 11:54:14,Baik
kicau kampung,2,2022-02-17 11:54:09,Tolonglah utunk pengaturan tangal sangatlah tidak effektif mohon untuk di permudah dan segera di perbaiki .
Aisyah Treembol,1,2022-02-17 11:53:54,kebanyakan eror lu aplikasi uji coba
Charles Bronson,1,2022-02-17 11:52:28,Gk canggih
Yusran NnZz Papua,3,2022-02-17 11:49:46,3 dl y * nya
Rizal Hafidh,5,2022-02-17 11:48:47,Good
A F,3,2022-02-17 11:47:09,Data user tidak update.. Tolong diperbaiki lagi kebaharuan datanya
euniken novrilia,2,2022-02-17 11:42:35,"Pada tanggal 17 Feb saya dikonfirmasi positif, posisi sedang isoman dan tidk kemana"". Tetapi ada notifikasi masuk, menginfokan bahwa saya sedang check in di plaza Semanggi. Padahal posisi saya ada dirumah sedang isoman.. bagaimana keamanan aplikasi ini ?"
GUSTI. RANDA,3,2022-02-17 11:41:33,bagus mudah untuk gunakan 👍👍.
Tiara Sejati,5,2022-02-17 11:39:44,Good
muri anto,5,2022-02-17 11:38:37,Yes mantap
chella ardilla,3,2022-02-17 11:36:06,bagus canggih tapi sering eror disuruh coba lagi trs dan diulang pun sama knp si ah. kesel bgt skrng kmn mn susah
Edi Sancoyo,5,2022-02-17 11:30:11,Good apk
Sebastian Happy,1,2022-02-17 11:28:52,No Bintang stupid
Atep Didin,5,2022-02-17 11:27:45,Nice
Ferayani,5,2022-02-17 11:21:55,Ok
sion mamondol,5,2022-02-17 11:19:49,Rp
Elfridus Sairul,5,2022-02-17 11:17:38,Bsik
Yani Iqbal,5,2022-02-17 11:17:04,Ok
Dimas gaditya,1,2022-02-17 11:13:28,Segini aja..
Imam Pajar ridwan,5,2022-02-17 11:11:51,Sangat membantu
Night Watched,5,2022-02-17 11:01:17,5 Star
